 Nmax, exp(-5.5), 1/exp(5.5), time
         107   4.0867714384610785E-003   4.0867714384640683E-003   6.4500000000000017E-004
         108   4.0867714384610785E-003   4.0867714384640683E-003   6.4999999999999997E-004
         109   4.0867714384610785E-003   4.0867714384640683E-003   6.5499999999999977E-004
         110   4.0867714384610785E-003   4.0867714384640683E-003   6.6000000000000043E-004
         111   4.0867714384610785E-003   4.0867714384640683E-003   6.6400000000000009E-004
         112   4.0867714384610785E-003   4.0867714384640683E-003   6.7000000000000002E-004
         113   4.0867714384610785E-003   4.0867714384640683E-003   6.7399999999999969E-004
         114   4.0867714384610785E-003   4.0867714384640683E-003   6.7900000000000035E-004
         115   4.0867714384610785E-003   4.0867714384640683E-003   6.8400000000000015E-004
         116   4.0867714384610785E-003   4.0867714384640683E-003   6.8899999999999994E-004
         117   4.0867714384610785E-003   4.0867714384640683E-003   6.9399999999999974E-004
         118   4.0867714384610785E-003   4.0867714384640683E-003   6.9900000000000040E-004
         119   4.0867714384610785E-003   4.0867714384640683E-003   7.0400000000000020E-004
         120   4.0867714384610785E-003   4.0867714384640683E-003   7.0899999999999999E-004
         121   4.0867714384610785E-003   4.0867714384640683E-003   7.1399999999999979E-004
         122   4.0867714384610785E-003   4.0867714384640683E-003   7.1900000000000045E-004
         123   4.0867714384610785E-003   4.0867714384640683E-003   7.2300000000000012E-004
         124   4.0867714384610785E-003   4.0867714384640683E-003   7.2900000000000005E-004
         125   4.0867714384610785E-003   4.0867714384640683E-003   7.3299999999999971E-004
         126   4.0867714384610785E-003   4.0867714384640683E-003   7.3899999999999964E-004
         127   4.0867714384610785E-003   4.0867714384640683E-003   7.4300000000000017E-004
         128   4.0867714384610785E-003   4.0867714384640683E-003   7.4900000000000010E-004
         129   4.0867714384610785E-003   4.0867714384640683E-003   7.5299999999999976E-004
         130   4.0867714384610785E-003   4.0867714384640683E-003   7.5800000000000043E-004
         131   4.0867714384610785E-003   4.0867714384640683E-003   7.6300000000000022E-004
         132   4.0867714384610785E-003   4.0867714384640683E-003   7.7700000000000035E-004
         133   4.0867714384610785E-003   4.0867714384640683E-003   7.8200000000000014E-004
         134   4.0867714384610785E-003   4.0867714384640683E-003   7.8599999999999981E-004
         135   4.0867714384610785E-003   4.0867714384640683E-003   7.9099999999999960E-004
         136   4.0867714384610785E-003   4.0867714384640683E-003   7.9600000000000027E-004
         137   4.0867714384610785E-003   4.0867714384640683E-003   7.9999999999999993E-004
         138   4.0867714384610785E-003   4.0867714384640683E-003   8.2200000000000025E-004
         139   4.0867714384610785E-003   4.0867714384640683E-003   8.2700000000000004E-004
         140   4.0867714384610785E-003   4.0867714384640683E-003   8.3199999999999984E-004
         141   4.0867714384610785E-003   4.0867714384640683E-003   8.3699999999999964E-004
         142   4.0867714384610785E-003   4.0867714384640683E-003   8.4200000000000030E-004
         143   4.0867714384610785E-003   4.0867714384640683E-003   8.4599999999999996E-004
         144   4.0867714384610785E-003   4.0867714384640683E-003   8.4999999999999963E-004
         145   4.0867714384610785E-003   4.0867714384640683E-003   8.5500000000000029E-004
         146   4.0867714384610785E-003   4.0867714384640683E-003   8.6000000000000009E-004
         147   4.0867714384610785E-003   4.0867714384640683E-003   8.6499999999999988E-004
         148   4.0867714384610785E-003   4.0867714384640683E-003   8.6900000000000041E-004
         149   4.0867714384610785E-003   4.0867714384640683E-003   8.7300000000000008E-004
         150   4.0867714384610785E-003   4.0867714384640683E-003   8.7799999999999987E-004
